Windows Server version,Servicing option,Editions,Availability date,Mainstream support end date,Extended support end date,Latest update,Latest revision date,Latest build,Update type,Build,KB article,,_1,_2,_3,_4,Month,Type,_5
Windows Server 2025,Long-Term Servicing Channel (LTSC),"Datacenter, Standard",01-11-2024,13-11-2029,14-11-2034,2025-09 B,09-09-2025,26100.6584,,,,,,,,,,,
Windows Server 2022,Long-Term Servicing Channel (LTSC),"Datacenter, Standard",18-08-2021,13-10-2026,14-10-2031,2025-09 B,09-09-2025,20348.4171,,,,,,,,,,,
Windows Server 2019 (version 1809),Long-Term Servicing Channel (LTSC),"Datacenter, Standard",13-11-2018,End of servicing,09-01-2029,2025-09 B,09-09-2025,17763.7792,,,,,,,,,,,
Windows Server 2016 (version 1607),Long-Term Servicing Branch (LTSB),"Datacenter, Essentials, Standard",02-08-2016,End of servicing,12-01-2027,2025-09 B,09-09-2025,14393.8422,,,,,,,,,,,
,LTSC,,09-09-2025,,,,,,2025-09 B,26100.6584,KB5065426,,,,,,,,
,LTSC,,12-08-2025,,,,,,2025-08 B,26100.4946,KB5063878,,,,,,,,
,LTSC,,13-07-2025,,,,,,2025-07 OOB,26100.4656,KB5064489,,,,,,,,
,LTSC,,08-07-2025,,,,,,2025-07 B,26100.4652,KB5062553,,,,,,,,
,LTSC,,10-06-2025,,,,,,2025-06 B,26100.4349,KB5060842,,,,,,,,
,LTSC,,27-05-2025,,,,,,2025-05 OOB,26100.4066,KB5061977,,,,,,,,
,LTSC,,13-05-2025,,,,,,2025-05 B,26100.4061,KB5058411,,,,,,,,
,LTSC,,16-04-2025,,,,,,2025-04 OOB,26100.3781,KB5059087,,,,,,,,
,LTSC,,08-04-2025,,,,,,2025-04 B,26100.3775,KB5055523,,,,,,,,
,LTSC,,11-03-2025,,,,,,2025-03 B,26100.3476,KB5053598,,,,,,,,
,LTSC,,11-02-2025,,,,,,2025-02 B,26100.3194,KB5051987,,,,,,,,
,LTSC,,14-01-2025,,,,,,2025-01 B,26100.2894,KB5050009,,,,,,,,
,LTSC,,10-12-2024,,,,,,2024-12 B,26100.2605,KB5048667,,,,,,,,
,LTSC,,12-11-2024,,,,,,2024-11 B,26100.2314,KB5046617,,,,,,,,
,LTSC,,01-11-2024,,,,,,2024-10 A,26100.1742,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
